group,participant,bin,targetCount,distractorCount,targetProp,target,verb,condition,coda,eLog,wts,landmark,lm_bin,landmark_2,phon_prob,biphon_prob,freq,pstm,wm
lb,L27,106,10,0,1,sacó,sacar,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.201,0.0114,NA,NA,6
lb,L27,112,0,10,0,grabó,grabar,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.0908,0.0016,9,NA,6
lb,L27,119,0,10,0,compra,comprar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,119,tw_start,0.2911,0.0703,197,NA,6
lb,L27,134,0,10,0,cantó,cantar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.3361,0.0447,NA,NA,6
lb,L27,102,0,10,0,guarda,guardar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,102,tw_start,0.1391,0.002,NA,NA,6
lb,L27,106,10,0,1,rompió,romper,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.2484,0.022,NA,NA,6
lb,L27,122,10,0,1,cambia,cambiar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,122,tw_start,0.2947,0.0356,128,NA,6
lb,L27,127,0,0,0,lanzó,lanzar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.2542,0.0236,NA,NA,6
lb,L18,112,0,10,0,bebió,beber,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2518,0.0132,53,NA,4
lb,L18,123,10,0,1,llena,llenar,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.1946,5e-4,371,NA,4
lb,L18,112,0,10,0,mandó,mandar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2871,0.0384,89,NA,4
lb,L18,134,10,0,1,firma,firmar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.1185,0.0055,174,NA,4
lb,L18,107,10,0,1,subió,subir,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.1146,0.0136,NA,NA,4
lb,L18,107,1,0,0.1,pinta,pintar,stressed,1,-1.845826690498331,0.7719298245614035,word3_c1v1,107,tw_start,0.2548,0.0158,87,NA,4
lb,L18,119,0,10,0,comió,comer,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,119,tw_start,0.2422,0.053900000000000003,23,NA,4
lb,L18,107,10,0,1,saca,sacar,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.201,0.0114,NA,NA,4
lb,L18,105,10,0,1,lavó,lavar,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1638,0.0065,10,NA,4
lb,L18,113,0,10,0,graba,grabar,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,113,tw_start,0.0908,0.0016,10,NA,4
lb,L18,118,0,10,0,compró,comprar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,118,tw_start,0.2911,0.0703,72,NA,4
lb,L18,134,0,10,0,canta,cantar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.3361,0.0447,NA,NA,4
lb,L18,105,10,0,1,guardó,guardar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1391,0.002,NA,NA,4
lb,L18,106,0,10,0,rompe,romper,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.2484,0.022,NA,NA,4
lb,L18,123,0,10,0,cambió,cambiar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.2947,0.0356,109,NA,4
lb,L18,127,0,10,0,lanza,lanzar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.2542,0.0236,NA,NA,4
hs,HS08,112,0,10,0,bebió,beber,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2518,0.0132,53,NA,9
hs,HS08,123,0,10,0,llena,llenar,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.1946,5e-4,371,NA,9
hs,HS08,112,0,10,0,mandó,mandar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2871,0.0384,89,NA,9
hs,HS08,134,10,0,1,firma,firmar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.1185,0.0055,174,NA,9
hs,HS08,107,0,10,0,subió,subir,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.1146,0.0136,NA,NA,9
hs,HS08,107,0,10,0,pinta,pintar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.2548,0.0158,87,NA,9
hs,HS08,119,0,0,0,comió,comer,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,119,tw_start,0.2422,0.053900000000000003,23,NA,9
hs,HS08,107,0,10,0,saca,sacar,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.201,0.0114,NA,NA,9
hs,HS08,105,0,10,0,lavó,lavar,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1638,0.0065,10,NA,9
hs,HS08,113,0,10,0,graba,grabar,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,113,tw_start,0.0908,0.0016,10,NA,9
hs,HS08,118,0,10,0,compró,comprar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,118,tw_start,0.2911,0.0703,72,NA,9
hs,HS08,134,10,0,1,canta,cantar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.3361,0.0447,NA,NA,9
hs,HS08,105,10,0,1,guardó,guardar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1391,0.002,NA,NA,9
hs,HS08,106,10,0,1,rompe,romper,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.2484,0.022,NA,NA,9
hs,HS08,123,0,10,0,cambió,cambiar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.2947,0.0356,109,NA,9
hs,HS08,127,0,10,0,lanza,lanzar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.2542,0.0236,NA,NA,9
hs,HS30,112,10,0,1,bebió,beber,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2518,0.0132,53,NA,10
hs,HS30,123,10,0,1,llena,llenar,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.1946,5e-4,371,NA,10
hs,HS30,112,0,10,0,mandó,mandar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2871,0.0384,89,NA,10
hs,HS30,134,10,0,1,firma,firmar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.1185,0.0055,174,NA,10
hs,HS30,107,10,0,1,subió,subir,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.1146,0.0136,NA,NA,10
hs,HS30,107,10,0,1,pinta,pintar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.2548,0.0158,87,NA,10
hs,HS30,119,10,0,1,comió,comer,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,119,tw_start,0.2422,0.053900000000000003,23,NA,10
hs,HS30,107,0,10,0,saca,sacar,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.201,0.0114,NA,NA,10
hs,HS30,105,10,0,1,lavó,lavar,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1638,0.0065,10,NA,10
hs,HS30,113,10,0,1,graba,grabar,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,113,tw_start,0.0908,0.0016,10,NA,10
hs,HS30,118,0,10,0,compró,comprar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,118,tw_start,0.2911,0.0703,72,NA,10
hs,HS30,134,0,10,0,canta,cantar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.3361,0.0447,NA,NA,10
hs,HS30,105,10,0,1,guardó,guardar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1391,0.002,NA,NA,10
hs,HS30,106,10,0,1,rompe,romper,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.2484,0.022,NA,NA,10
hs,HS30,123,10,0,1,cambió,cambiar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.2947,0.0356,109,NA,10
hs,HS30,127,0,10,0,lanza,lanzar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.2542,0.0236,NA,NA,10
hs,HS06,112,0,10,0,bebió,beber,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2518,0.0132,53,NA,5
hs,HS06,123,0,10,0,llena,llenar,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.1946,5e-4,371,NA,5
hs,HS06,112,0,10,0,mandó,mandar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2871,0.0384,89,NA,5
hs,HS06,134,0,10,0,firma,firmar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.1185,0.0055,174,NA,5
hs,HS06,107,0,10,0,subió,subir,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.1146,0.0136,NA,NA,5
hs,HS06,107,0,10,0,pinta,pintar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.2548,0.0158,87,NA,5
hs,HS06,119,0,10,0,comió,comer,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,119,tw_start,0.2422,0.053900000000000003,23,NA,5
hs,HS06,107,10,0,1,saca,sacar,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.201,0.0114,NA,NA,5
hs,HS06,105,0,10,0,lavó,lavar,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1638,0.0065,10,NA,5
hs,HS06,113,10,0,1,graba,grabar,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,113,tw_start,0.0908,0.0016,10,NA,5
hs,HS06,118,0,10,0,compró,comprar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,118,tw_start,0.2911,0.0703,72,NA,5
hs,HS06,134,10,0,1,canta,cantar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.3361,0.0447,NA,NA,5
hs,HS06,105,10,0,1,guardó,guardar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1391,0.002,NA,NA,5
hs,HS06,106,0,10,0,rompe,romper,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.2484,0.022,NA,NA,5
hs,HS06,123,0,10,0,cambió,cambiar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.2947,0.0356,109,NA,5
hs,HS06,127,10,0,1,lanza,lanzar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.2542,0.0236,NA,NA,5
lb,L42,112,0,10,0,bebió,beber,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2518,0.0132,53,NA,NA
lb,L42,123,10,0,1,llena,llenar,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.1946,5e-4,371,NA,NA
lb,L42,112,10,0,1,mandó,mandar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2871,0.0384,89,NA,NA
lb,L42,134,0,10,0,firma,firmar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.1185,0.0055,174,NA,NA
lb,L42,107,0,10,0,subió,subir,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.1146,0.0136,NA,NA,NA
lb,L42,107,0,10,0,pinta,pintar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.2548,0.0158,87,NA,NA
lb,L42,119,10,0,1,comió,comer,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,119,tw_start,0.2422,0.053900000000000003,23,NA,NA
lb,L42,107,10,0,1,saca,sacar,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.201,0.0114,NA,NA,NA
lb,L42,105,0,2,0,lavó,lavar,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1638,0.0065,10,NA,NA
lb,L42,113,0,10,0,graba,grabar,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,113,tw_start,0.0908,0.0016,10,NA,NA
lb,L42,118,0,10,0,compró,comprar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,118,tw_start,0.2911,0.0703,72,NA,NA
lb,L42,134,0,10,0,canta,cantar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.3361,0.0447,NA,NA,NA
lb,L42,105,0,10,0,guardó,guardar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1391,0.002,NA,NA,NA
lb,L42,106,10,0,1,rompe,romper,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.2484,0.022,NA,NA,NA
lb,L42,123,10,0,1,cambió,cambiar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.2947,0.0356,109,NA,NA
lb,L42,127,10,0,1,lanza,lanzar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.2542,0.0236,NA,NA,NA
lb,L45,111,0,10,0,bebe,beber,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,111,tw_start,0.2518,0.0132,50,NA,NA
lb,L45,127,10,0,1,llenó,llenar,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.1946,5e-4,61,NA,NA
lb,L45,115,10,0,1,manda,mandar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,115,tw_start,0.2871,0.0384,110,NA,NA
lb,L45,131,0,10,0,firmó,firmar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,131,tw_start,0.1185,0.0055,47,NA,NA
lb,L45,108,10,0,1,sube,subir,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,108,tw_start,0.1146,0.0136,NA,NA,NA
lb,L45,107,0,10,0,pintó,pintar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.2548,0.0158,17,NA,NA
lb,L45,121,10,0,1,come,comer,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,121,tw_start,0.2422,0.053900000000000003,87,NA,NA
lb,L45,106,10,0,1,sacó,sacar,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.201,0.0114,NA,NA,NA
lb,L45,105,10,0,1,lava,lavar,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1638,0.0065,45,NA,NA
lb,L45,112,10,0,1,grabó,grabar,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.0908,0.0016,9,NA,NA
lb,L45,119,10,0,1,compra,comprar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,119,tw_start,0.2911,0.0703,197,NA,NA
lb,L45,134,10,0,1,cantó,cantar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.3361,0.0447,NA,NA,NA
lb,L45,102,10,0,1,guarda,guardar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,102,tw_start,0.1391,0.002,NA,NA,NA
lb,L45,106,10,0,1,rompió,romper,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.2484,0.022,NA,NA,NA
lb,L45,122,10,0,1,cambia,cambiar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,122,tw_start,0.2947,0.0356,128,NA,NA
lb,L45,127,10,0,1,lanzó,lanzar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.2542,0.0236,NA,NA,NA
lb,L26,112,10,0,1,bebió,beber,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2518,0.0132,53,NA,NA
lb,L26,123,0,10,0,llena,llenar,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.1946,5e-4,371,NA,NA
lb,L26,112,10,0,1,mandó,mandar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2871,0.0384,89,NA,NA
